Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
129960,National authorities,27.44,75.47,Asia,India,Rajasthan,Neem ka Thana,Unknown,08/11/2008,13/01/2009,Confirmed,Influenza - Equine,H3N8,"domestic, horse",3,1,,,,,,,
129959,National authorities,27.12,74.37,Asia,India,Rajasthan,Mandore,Unknown,08/11/2008,13/01/2009,Confirmed,Influenza - Equine,H3N8,"domestic, horse",60,4,,,,,,,
129958,National authorities,27.09,74.51,Asia,India,Rajasthan,Kuchman,Unknown,08/11/2008,13/01/2009,Confirmed,Influenza - Equine,H3N8,"domestic, horse",21,2,,,,,,,
129957,National authorities,27.38,74.23,Asia,India,Rajasthan,Ladnu,Unknown,08/11/2008,13/01/2009,Confirmed,Influenza - Equine,H3N8,"domestic, horse",74,2,,,,,,,
129956,National authorities,27.24,74.34,Asia,India,Rajasthan,Didwana,Unknown,08/11/2008,13/01/2009,Confirmed,Influenza - Equine,H3N8,"domestic, horse",3,1,,,,,,,
129955,National authorities,27.02,74.43,Asia,India,Rajasthan,Makrana,Unknown,08/11/2008,13/01/2009,Confirmed,Influenza - Equine,H3N8,"domestic, horse",1,1,,,,,,,
129954,National authorities,27.12,73.43,Asia,India,Rajasthan,Rohinibi,Unknown,08/11/2008,13/01/2009,Confirmed,Influenza - Equine,H3N8,"domestic, horse",12,1,,,,,,,
129953,National authorities,26.53,74.45,Asia,India,Rajasthan,Parbatsar,Unknown,08/11/2008,13/01/2009,Confirmed,Influenza - Equine,H3N8,"domestic, horse",28,2,,,,,,,
129952,National authorities,26.53,74.19,Asia,India,Rajasthan,Degana,Unknown,08/11/2008,13/01/2009,Confirmed,Influenza - Equine,H3N8,"domestic, horse",41,3,,,,,,,
129951,National authorities,25.2,74.38,Asia,India,Rajasthan,Shahapura,Unknown,08/11/2008,13/01/2009,Confirmed,Influenza - Equine,H3N8,"domestic, horse",289,1,,,,,,,
129950,National authorities,26.26,74.38,Asia,India,Rajasthan,Peesangan,Unknown,08/11/2008,13/01/2009,Confirmed,Influenza - Equine,H3N8,"domestic, horse",11,1,,,,,,,
129949,National authorities,26.26,74.38,Asia,India,Rajasthan,Nagar Parishad,Unknown,08/11/2008,13/01/2009,Confirmed,Influenza - Equine,H3N8,"domestic, horse",593,8,,,,,,,
129946,National authorities,28.38,77.12,Asia,India,Haryana,Delhi,Unknown,26/09/2008,18/12/2008,Confirmed,Influenza - Equine,H3N8,"domestic, horse",1353,49,,,,,,,
129945,National authorities,22.32,88.2,Asia,India,West Bengal,Kolkata,Unknown,07/11/2008,18/12/2008,Confirmed,Influenza - Equine,H3N8,"domestic, horse",65,20,,,,,,,
129944,National authorities,18.3,73.52,Asia,India,Maharashtra,Pune,Unknown,26/10/2008,18/12/2008,Confirmed,Influenza - Equine,H3N8,"domestic, horse",2813,304,,,,,,,
129943,National authorities,18.47,73.21,Asia,India,Maharashtra,Matheran,Unknown,08/10/2008,18/12/2008,Confirmed,Influenza - Equine,H3N8,"domestic, horse",465,418,,,,,,,
129942,National authorities,34.09,74.79,Asia,Jammu and Kashmir,Administrative unit not available,Anantnag,Unknown,07/07/2008,27/11/2008,Confirmed,Influenza - Equine,H3N8,"domestic, horse",,12543,1,,,,,,
129941,National authorities,32.98,74.95,Asia,Jammu and Kashmir,Administrative unit not available,Katra,Unknown,20/06/2008,27/11/2008,Confirmed,Influenza - Equine,H3N8,"domestic, horse",10000,5424,15,,,,,,
129940,National authorities,43.3081,144.5953,Asia,Japan,Hokkaidoo,Sibetya town,Unknown,20/06/2008,12/08/2008,Confirmed,Influenza - Equine,H3N8,"domestic, horse",16,1,0,0,,,,,
129939,National authorities,43.1445,144.1473,Asia,Japan,Hokkaidoo,Akan Town,Unknown,01/07/2008,12/08/2008,Confirmed,Influenza - Equine,H3N8,"domestic, horse",16,1,0,0,,,,,
129937,National authorities,47.5929,134.4909,Asia,China,Heilongjiang Sheng,Village Kiinsk,Unknown,14/10/2008,22/12/2008,Confirmed,Sheep pox and goat pox,,"domestic, goats, domestic, sheep",113,17,13,0,,,,,
129933,National authorities,47.952778,114.716667,Asia,Mongolia,Dornod,Kherlen soum,Unknown,02/10/2008,11/10/2008,Confirmed,Sheep pox and goat pox,,"domestic, goats",709,94,6,6,,,,,
129932,National authorities,25.0475,121.129,Asia,Taiwan (Province of China),Taiwan Sheng,Yu-Wen Farm,Unknown,24/06/2008,08/07/2008,Confirmed,Sheep pox and goat pox,,"domestic, goats",68,68,16,52,,,,,
129931,National authorities,25.0302,121.0734,Asia,Taiwan (Province of China),Taiwan Sheng,Rom-Chang Farm,Unknown,24/06/2008,08/07/2008,Confirmed,Sheep pox and goat pox,,"domestic, goat/sheep ",142,114,19,123,,,,,
129930,National authorities,30.05162,31.10605,Africa,Egypt,Giza,KAFR ABU HEGAZI                  ,Unknown,13/01/2009,14/01/2009,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken, domestic, duck",,,,,,,,1,
129925,National authorities,30.4531307,31.0431461,Africa,Egypt,Menoufia,Al Minufiyah (menoufia),Unknown,09/01/2009,11/01/2009,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken, domestic, duck",,34,,,,,,,
129924,National authorities,-20.36,57.36,Africa,Mauritius,Black River,Richelieu Prison ,Unknown,01/04/2008,19/05/2008,Confirmed,Lumpy skin disease,,"domestic, cattle",69,16,2,14,,,,,
129923,National authorities,12.739,-8.412,Africa,Mali,Koulikoro,Diatoula,Unknown,10/08/2008,13/01/2009,Confirmed,Lumpy skin disease,,"domestic, cattle",58,11,1,0,,,,,
129922,National authorities,6.916675,35.488331,Africa,Ethiopia,SNNPR,Maeniti Goldia,Unknown,03/06/2008,19/09/2008,Confirmed,African horse sickness,2,"domestic, horse",1300,50,5,0,,,,,
129921,National authorities,7.104272,36.390881,Africa,Ethiopia,SNNPR,Tello,Unknown,25/05/2008,19/09/2008,Confirmed,African horse sickness,2,"domestic, horse",4560,300,250,0,,,,,
129918,National authorities,30.4158134,47.6561737,Asia,Iraq,Basrah,Basrah,Unknown,12/01/2009,12/01/2009,Confirmed,Foot and mouth disease,A,"domestic, cattle",,,,,,,,,
129916,FAO officer,51.00142,7.17126,Europe,Germany,Nordrhein-Westfalen,Rheinisch-Bergischer Kreis ,Unknown,27/12/2008,12/01/2009,Confirmed,Classical swine fever,,"wild, wild boar",,1,,,,,,,
129915,National authorities,6.889778,36.331222,Africa,Ethiopia,SNNPR,Cheta,Unknown,17/04/2008,19/09/2008,Confirmed,African horse sickness,2,"domestic, horse",2560,200,153,0,,,,,
129914,National authorities,7.395253,35.663433,Africa,Ethiopia,SNNPR,Bita Genet,Unknown,17/04/2008,19/09/2008,Confirmed,African horse sickness,2,"domestic, horse",3700,500,222,0,,,,,
129913,National authorities,7.595183,35.911614,Africa,Ethiopia,SNNPR,Gawata,Unknown,12/04/2008,19/09/2008,Confirmed,African horse sickness,2,"domestic, horse",3661,300,200,0,,,,,
129912,National authorities,8.018767,35.829531,Africa,Ethiopia,SNNPR,Saylem,Unknown,09/04/2008,19/09/2008,Confirmed,African horse sickness,2,"domestic, horse",4960,500,300,0,,,,,
129911,National authorities,7.758644,35.488389,Africa,Ethiopia,SNNPR,Adiyo (Manjwo),Unknown,09/04/2008,19/09/2008,Confirmed,African horse sickness,2,"domestic, horse",4000,250,215,0,,,,,
129910,National authorities,33.64,-4.8,Africa,Morocco,Fès - Boulemane,Hajjeine,Unknown,09/08/2008,13/09/2008,Confirmed,Peste des petits ruminants,,"domestic, sheep",12,4,0,,,,,,
129909,National authorities,33.64,-4.8,Africa,Morocco,Fès - Boulemane,Nouifat,Unknown,11/08/2008,13/09/2008,Confirmed,Peste des petits ruminants,,"domestic, sheep, domestic, goats",195,6,4,,,,,,
129908,National authorities,33.64,-4.8,Africa,Morocco,Fès - Boulemane,Ouled Amer Ghboula,Unknown,17/08/2008,13/09/2008,Confirmed,Peste des petits ruminants,,"domestic, sheep, domestic, goats",317,63,39,,,,,,
129907,National authorities,33.64,-4.8,Africa,Morocco,Fès - Boulemane,Ait Ichou,Unknown,16/08/2008,13/09/2008,Confirmed,Peste des petits ruminants,,"domestic, sheep",250,12,12,,,,,,
129906,National authorities,33.64,-4.8,Africa,Morocco,Fès - Boulemane,Larassen,Unknown,16/08/2008,13/09/2008,Confirmed,Peste des petits ruminants,,"domestic, sheep",125,34,4,,,,,,
129905,National authorities,33.74,-5.06,Africa,Morocco,Fès - Boulemane,Ait Abdou,Unknown,17/08/2008,13/09/2008,Confirmed,Peste des petits ruminants,,"domestic, sheep",25,1,0,,,,,,
129904,National authorities,34.87,-2.02,Africa,Morocco,Oriental,Skaina Bni Drar 2,Unknown,17/08/2008,13/09/2008,Confirmed,Peste des petits ruminants,,"domestic, sheep, domestic, goats",91,11,7,,,,,,
129903,National authorities,34.87,-2.02,Africa,Morocco,Oriental,Skaina Bni Drar 1,Unknown,17/08/2008,13/09/2008,Confirmed,Peste des petits ruminants,,"domestic, sheep, domestic, goats",25,8,5,,,,,,
129902,FAO Field Officer,32.4612961,35.7752571,Asia,Jordan,Irbid,Irbid,Unknown,07/01/2009,07/01/2009,Denied,Foot and mouth disease,,"domestic, cattle",,,,,,,,,
129901,FAO Field Officer,32.3932228,36.9933968,Asia,Jordan,Mafraq,Al Mafraq,Unknown,07/01/2009,07/01/2009,Denied,Foot and mouth disease,,"domestic, cattle",,,,,,,,,
129900,National authorities,-24.38,30.955583,Africa,South Africa,Limpopo,Happy Lands,Unknown,05/12/2008,22/12/2008,Confirmed,Foot and mouth disease,SAT2,"domestic, buffaloes",42,11,0,0,0,,,,
