Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
199910,National authorities,30.203301,32.312164,Africa,Egypt,Suez,Faysal District ,Unknown,26/01/2015,02/02/2015,Confirmed,Influenza - Avian,H5N1 HPAI,,,,,,,,,1,
199909,National authorities,30.670105,31.587238,Africa,Egypt,Shrkia,Hehia District ,Unknown,27/01/2015,02/02/2015,Confirmed,Influenza - Avian,H5N1 HPAI,,,,,,,,,1,
199908,National authorities,31.043669,30.473156,Africa,Egypt,Behera,Damanhor District,Unknown,24/01/2015,02/02/2015,Confirmed,Influenza - Avian,H5N1 HPAI,,,,,,,,,1,
199907,National authorities,30.159377,31.331635,Africa,Egypt,Cairo,Marg District,Unknown,22/01/2015,02/02/2015,Confirmed,Influenza - Avian,H5N1 HPAI,,,,,,,,,1,
199906,National authorities,30.067905,31.249237,Africa,Egypt,Cairo,Basatin District,Unknown,10/01/2015,02/02/2015,Confirmed,Influenza - Avian,H5N1 HPAI,,,,,,,,,1,
199905,National authorities,28.492192,30.802574,Africa,Egypt,Menia," Beni Mazar District",Unknown,09/01/2015,02/02/2015,Confirmed,Influenza - Avian,H5N1 HPAI,,,,,,,,,1,
199903,National authorities,47.717,-116.729,Americas,United States of America,Idaho,Kootenai County,Unknown,29/01/2015,04/02/2015,Confirmed,Influenza - Avian,H5N8 HPAI,"captive, falcon",,,1,,,,,,
199902,National authorities,23.402081,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,28/01/2015,04/02/2015,Confirmed,MERS-CoV ,,,,,,,,,,1,
199901,National authorities,23.402081,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,28/01/2015,04/02/2015,Confirmed,MERS-CoV ,,,,,,,,,,1,
199900,National authorities,25.387457,49.579239,Asia,Saudi Arabia,Eastern Province,Al Hafof,Unknown,28/01/2015,03/02/2015,Confirmed,MERS-CoV ,,,,,,,,,,1,
199899,National authorities,24.149886,47.304382,Asia,Saudi Arabia,Riyad,Al Kharj,Unknown,01/02/2015,03/02/2015,Confirmed,MERS-CoV ,,,,,,,,,,1,
199898,National authorities,24.149886,47.304382,Asia,Saudi Arabia,Riyad,Al Kharj,Unknown,24/01/2015,03/02/2015,Confirmed,MERS-CoV ,,,,,,,,,,1,1
199897,National authorities,22.552196,114.131126,Asia,China,Guangdong Sheng,"Luohu District, Shenzhen City",Unknown,,05/02/2015,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,
199896,OIE,23.684699,120.194368,Asia,Taiwan (Province of China),Taiwan Sheng,Taixi Township,Unknown,,04/02/2015,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, unspecified bird",9700,1540,,,,,,,
199895,OIE,24.738,120.887,Asia,Taiwan (Province of China),Taiwan Sheng,Xiangshan District,Unknown,,04/02/2015,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, unspecified bird",180,2,,,,,,,
199894,OIE,22.559,120.415,Asia,Taiwan (Province of China),Taiwan Sheng,Daliao District,Unknown,,04/02/2015,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, unspecified bird",450,16,,,,,,,
199893,OIE,23.73,120.502,Asia,Taiwan (Province of China),Taiwan Sheng,Huwei Township,Unknown,,04/02/2015,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, unspecified bird",34500,4500,,,,,,,
199892,OIE,23.87,120.414,Asia,Taiwan (Province of China),Taiwan Sheng,Zhutang Township,Unknown,,04/02/2015,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, unspecified bird",3300,314,,,,,,,
199891,OIE,22.922,120.256,Asia,Taiwan (Province of China),Taiwan Sheng,Rende District,Unknown,,04/02/2015,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, unspecified bird",5120,320,,,,,,,
