Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
182151,WHO,24.975267,55.324495,Asia,United Arab Emirates,Dubai,Dubai,Centroid Admin1,27/12/2013,03/01/2014,Confirmed,MERS-CoV ,,,,,,,,,,1,1
182150,WHO,25.130335,55.824145,Asia,United Arab Emirates,Sharjah,Shariqah,Centroid Admin1,26/12/2013,31/12/2013,Confirmed,MERS-CoV ,,,,,,,,,,1,
182148,OIE,29.02,89.46,Asia,China,Xizang Zizhiqu,"Baisha Village, Jiangzi",Unknown,02/01/2014,08/01/2014,Confirmed,Foot and mouth disease,A,"domestic, cattle, domestic, sheep",45,7,0,45,0,,,,
182147,OIE,40.892788,22.044911,Europe,Greece,Kentriki Makedonia,Neochori Almopias,Centroid Admin2,17/12/2013,08/01/2014,Confirmed,Rabies,,"wild, fox",,1,0,1,,,,,
182143,OIE,40.53,79.02,Asia,China,Xinjiang Uygur Zizhiqu,"Yulala & Shangkumuli village, Keping, Akesu Prefecture",Unknown,22/12/2013,03/01/2014,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",492,206,44,448,,,,,
182142,OIE,41.32,83.18,Asia,China,Xinjiang Uygur Zizhiqu,"Yibao village, Kuche, Akesu Prefecture",Unknown,20/12/2013,03/01/2014,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",126,100,26,,,,,,
182141,National authorities,27.398189,111.349472,Asia,China,Hunan Sheng,Yongzhou,Centroid Admin1,19/11/2013,02/01/2014,Confirmed,Influenza - Avian,H9N2 LPAI,,,,,,,,,1,
182139,OIE,48.6586,39.649,Europe,Ukraine,Luhans'ka,Forester-hunting ground ""Pischane"",Exact,06/01/2014,08/01/2014,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
182137,National authorities,30.639094,120.566025,Asia,China,Zhejiang Sheng,Zhejiang Tongxiang,Unknown,28/12/2013,09/01/2014,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,
182136,National authorities,54.494694,-115.002849,Americas,Canada,Alberta,Alberta,Centroid Admin1,01/01/2014,08/01/2014,Confirmed,Influenza - Avian,H5N1 HPAI,,,,,,,,,1,
182135,National authorities,32.058136,118.793793,Asia,China,Jiangsu Sheng,Nanjing,Unknown,20/12/2013,07/01/2014,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,
182134,National authorities,23.043089,113.1427,Asia,China,Guangdong Sheng,"Nanhai District, Foshan City",Unknown,31/12/2013,08/01/2014,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,
182133,National authorities,22.554099,114.130096,Asia,China,Guangdong Sheng,"Luohu District, Shenzhen",Unknown,30/12/2013,07/01/2014,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,
182132,National authorities,29.995976,120.587311,Asia,China,Zhejiang Sheng,Shaoxing city,Unknown,29/12/2013,04/01/2014,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,
182131,National authorities,31.104125,121.357343,Asia,China,Shanghai Shi,Shanghai Shi,Centroid Admin1,26/12/2013,03/01/2014,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,
182130,National authorities,21.860224,111.981926,Asia,China,Guangdong Sheng,"Yangdong County, Yangjiang City",Unknown,01/01/2014,06/01/2014,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,1
182129,National authorities,23.016667,113.116667,Asia,China,Guangdong Sheng,"Nanhai District, Foshan City",Unknown,25/12/2013,06/01/2014,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,
182128,National authorities,22.408705,114.057637,Asia,"Hong Kong, SAR",Administrative unit not available,Sham Shui Po,Centroid Admin1,03/01/2014,08/01/2014,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,1
182127,OIE,25.57,107.73,Asia,China,Guizhou Sheng,"Yijue Village, Libo, Qiannan",Unknown,27/12/2013,02/01/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",31567,9300,8500,23067,,,,,
182126,National authorities,29.102,30.944,Africa,Egypt,Beni Suef,Dashtout,Centroid Locality,01/01/2014,02/01/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,8,,8,,,,,
182125,National authorities,29.339,31.09,Africa,Egypt,Beni Suef,Beni Suef,Centroid Locality,01/01/2014,02/01/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,10,,10,,,,,
182124,National authorities,30.682,30.948,Africa,Egypt,Menoufia,Tala,Centroid Locality,25/12/2013,26/12/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken, domestic, duck, domestic, unspecified bird",,31,,31,,,,,
182123,National authorities,31.025,31.646,Africa,Egypt,Dakahlia,Beni Elbied,Centroid Locality,24/12/2013,25/12/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken, domestic, duck, domestic, unspecified bird",,55,,55,,,,,
182119,OIE,42.0,84.91,Asia,China,Xinjiang Uygur Zizhiqu,"Sayibage Village, Luntai, Bayinggol Mongolia Autonomous Prefecture",Unknown,29/12/2013,02/01/2014,Confirmed,Peste des petits ruminants,,"domestic, goat/sheep ",203,160,38,165,,,,,
182118,National authorities,24.103249,56.679541,Asia,Oman,Al Batnah,Al Batnah,Centroid Admin1,20/12/2013,30/12/2013,Confirmed,MERS-CoV ,,,,,,,,,,1,1
182115,National authorities,23.601248,120.826967,Asia,Taiwan (Province of China),Taiwan Sheng,Taiwan Sheng,Centroid Admin1,19/12/2013,31/12/2013,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,1
182112,National authorities,22.546489,114.134388,Asia,"Hong Kong, SAR",Administrative unit not available,"Huangbeiling, Luohu, Shenzhen",Unknown,28/12/2013,30/12/2013,Confirmed,Influenza - Avian,H9N2 LPAI,,,,,,,,,1,
182106,OIE,23.601248,120.826967,Asia,Taiwan (Province of China),Taiwan Sheng,"Chenggong Township, TAITUNG COUNTY",Centroid Admin1,16/11/2013,25/12/2013,Confirmed,Rabies,,"wild, ferret-badger",,1,1,,,,,,
182105,OIE,23.607093,120.635204,Asia,Taiwan (Province of China),Taiwan Sheng,"Gukeng Township, YUNLIN COUNTY",Unknown,16/11/2013,25/12/2013,Confirmed,Rabies,,"wild, ferret-badger",,1,1,,,,,,
182104,OIE,23.601248,120.826967,Asia,Taiwan (Province of China),Taiwan Sheng,Chengong,Centroid Admin1,15/11/2013,25/12/2013,Confirmed,Rabies,,"wild, ferret-badger",,1,1,,,,,,
182103,OIE,42.97,93.17,Asia,China,Xinjiang Uygur Zizhiqu,"Wupu, Hami",Unknown,21/12/2013,26/12/2013,Confirmed,Peste des petits ruminants,,"domestic, sheep",305,176,34,271,,,,,
182102,OIE,38.627442,16.101863,Europe,Italy,Calabria,Nicotera,Centroid Admin2,19/11/2013,24/12/2013,Confirmed,Bluetongue,,"domestic, cattle",25,1,,,,,,,
182101,OIE,31.4500758201,34.6782223186,Asia,Israel,Southern District,"QELAHIM, Beer-Sheva",Unknown,22/12/2013,24/12/2013,Confirmed,Newcastle disease,,"domestic, chicken",40000,4000,1200,38800,,,,,
182100,National authorities,30.083,31.217,Africa,Egypt,Giza,Embaba,Centroid Locality,17/12/2013,18/12/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,7,,7,,,,,
182099,National authorities,23.402081,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,,25/12/2013,Confirmed,MERS-CoV ,,,,,,,,,,5,1
182094,National authorities,-4.020716,122.5032,Asia,Indonesia,Sulawesi Tenggara,WUNDODOPI,Centroid Admin2,25/11/2013,25/11/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,13,13,,,,,,
182093,National authorities,0.59184,101.03764,Asia,Indonesia,Riau,MAHARATU,Centroid Admin2,04/11/2013,04/11/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,13,13,,,,,,
182092,National authorities,-5.162163,105.435791,Asia,Indonesia,Lampung,SIDODADI,Centroid Admin1,25/11/2013,25/11/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,17,17,,,,,,
182091,National authorities,-5.027131,105.503753,Asia,Indonesia,Lampung,TAMAN ASRI,Centroid Admin1,25/11/2013,25/11/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,17,17,,,,,,
182090,National authorities,-4.982367,105.368295,Asia,Indonesia,Lampung,GANTI WARNO,Centroid Admin2,27/11/2013,27/11/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,33,33,,,,,,
182089,National authorities,-6.961202,106.963559,Asia,Indonesia,Jawa Barat,SASAGARAN,Centroid Admin1,25/11/2013,25/11/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,156,156,,,,,,
182088,National authorities,-6.220715,107.046022,Asia,Indonesia,Jawa Barat,KARANGSATRIA,Centroid Admin2,19/11/2013,19/11/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,5,5,,,,,,
182087,National authorities,-6.909922,107.468219,Asia,Indonesia,Jawa Barat,PANGAUBAN,Centroid Admin2,27/11/2013,27/11/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,80,80,,,,,,
182086,OIE,-32.90083,25.91,Africa,South Africa,Eastern Cape,"LPAI_2013H7N1_003, Blue Crane Route",Unknown,20/10/2013,24/12/2013,Confirmed,Influenza - Avian,H7N1 LPAI,"domestic, ostrich",1243,28,0,0,0,,,,
182085,OIE,-32.61277,25.316388,Africa,South Africa,Eastern Cape,"LPAI_2013H7N1_001, Blue Crane Route",Unknown,20/10/2013,24/12/2013,Confirmed,Influenza - Avian,H7N1 LPAI,"domestic, ostrich",675,23,0,0,0,,,,
182084,OIE,-32.58722,25.245277,Africa,South Africa,Eastern Cape,"LPAI_2013H7N1_002, Blue Crane Route",Centroid Admin2,20/10/2013,24/12/2013,Confirmed,Influenza - Avian,H7N1 LPAI,"domestic, ostrich",988,13,0,0,0,,,,
182083,OIE,37.809954,38.21794,Asia,Turkey,Adiyaman,Yesilova,Centroid Admin1,22/11/2013,24/12/2013,Confirmed,Lumpy skin disease,,"domestic, cattle",281,4,1,0,0,,,,
182082,OIE,-34.34204,20.79566,Africa,South Africa,Western Cape,"LPAI_2012_H5N2_013, Hessequa",Unknown,02/11/2013,23/12/2013,Confirmed,Influenza - Avian,H5N2 LPAI,"domestic, ostrich",705,118,0,0,0,,,,
182081,OIE,-33.87695,22.312884,Africa,South Africa,Western Cape,LPAI_2012_H5N2_014,Centroid Admin2,02/10/2013,23/12/2013,Confirmed,Influenza - Avian,H5N2 LPAI,"domestic, ostrich",2975,893,0,0,0,,,,
182080,OIE,-34.37677,20.82722,Africa,South Africa,Western Cape,"LPAI_2012_H5N2_015, Hessequa",Unknown,08/10/2013,23/12/2013,Confirmed,Influenza - Avian,H5N2 LPAI,"domestic, ostrich",750,255,0,0,0,,,,
182079,OIE,-34.225,20.87083,Africa,South Africa,Western Cape,"LPAI_2012_H5N2_019, Hessequa",Unknown,01/10/2013,23/12/2013,Confirmed,Influenza - Avian,H5N2 LPAI,"domestic, ostrich",1460,194,0,0,0,,,,
182078,OIE,-34.10786,21.51975,Africa,South Africa,Western Cape,"LPAI_2012_H5N2_018, Hessequa",Unknown,12/09/2013,23/12/2013,Confirmed,Influenza - Avian,H5N2 LPAI,"domestic, ostrich",2054,175,0,0,0,,,,
182077,OIE,-34.11322,21.52389,Africa,South Africa,Western Cape,"LPAI_2012_H5N2_016, Hessequa",Unknown,22/08/2013,23/12/2013,Confirmed,Influenza - Avian,H5N2 LPAI,"domestic, ostrich",99,39,0,0,0,,,,
182076,OIE,-34.278,20.85445,Africa,South Africa,Western Cape,"LPAI_2012_H5N2_017, Hessequa",Unknown,09/07/2013,23/12/2013,Confirmed,Influenza - Avian,H5N2 LPAI,"domestic, ostrich",2128,586,0,0,0,,,,
182075,OIE,-24.65361111,31.342222,Africa,South Africa,Mpumalanga,"FMD_Mpu_2013_009, Bushbuckridge,",Unknown,09/12/2013,23/12/2013,Confirmed,Foot and mouth disease,SAT2,"domestic, cattle",13420,3,0,0,0,,,,
182074,OIE,-24.57805556,31.3597222,Africa,South Africa,Mpumalanga,"FMD_Mpu_2013_008, Bushbuckridge,",Unknown,06/12/2013,23/12/2013,Confirmed,Foot and mouth disease,SAT2,"domestic, cattle",10030,36,0,0,0,,,,
