Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
228219,OIE,53.4849,22.4952,Europe,Poland,Podlaskie,Klimaszewnica,Exact,20/01/2017,01/02/2017,Confirmed,African swine fever,,"wild,wild boar (sus scrofa) (suidae))",,1,1,,,,,,
228176,National authorities,23.402081,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,,07/06/2017,Confirmed,MERS-CoV ,,,,,,,,Male,39,1,
228175,National authorities,23.402081,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,,08/06/2017,Confirmed,MERS-CoV ,,,,,,,,Female,30,1,
228174,National authorities,23.402081,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,,07/06/2017,Confirmed,MERS-CoV ,,,,,,,,Female,45,1,
228173,National authorities,23.402081,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,03/06/2017,07/06/2017,Confirmed,MERS-CoV ,,,,,,,,Female,42,1,
228172,National authorities,23.402081,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,,07/06/2017,Confirmed,MERS-CoV ,,,,,,,,Female,35,1,
228169,National authorities,23.402081,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,,06/06/2017,Confirmed,MERS-CoV ,,,,,,,,Male,48,1,
228168,National authorities,23.402081,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,,06/06/2017,Confirmed,MERS-CoV ,,,,,,,,Male,84,1,
228167,National authorities,25.31,49.61,Asia,Saudi Arabia,Eastern Province,Al Hofuf,Unknown,01/06/2017,06/06/2017,Confirmed,MERS-CoV ,,,,,,,,Male,45,1,1
228166,National authorities,24.13,55.79,Asia,United Arab Emirates,Abu Dhabi,Al Ain city ,Unknown,,06/06/2017,Confirmed,MERS-CoV ,,,,,,,,Male,45,1,
228165,National authorities,24.13,55.79,Asia,United Arab Emirates,Abu Dhabi,Al Ain city ,Unknown,03/05/2017,06/06/2017,Confirmed,MERS-CoV ,,,,,,,,Male,69,1,
228164,National authorities,23.402081,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,,16/05/2017,Confirmed,MERS-CoV ,,,,,,,,Female,25,1,
228147,National authorities,49.741843,6.115522,Europe,Luxembourg,Luxembourg,Rollingen,Exact,02/06/2017,06/06/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",,56,,625,,,0,,
228146,National authorities,38.194407,109.716268,Asia,China,Shaanxi Sheng,Yulin,Centroid Admin2,23/05/2017,06/06/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,Male,67,1,
228145,National authorities,30.19,105.83,Asia,China,Chongqing Shi,Tongnan District ,Unknown,28/05/2017,06/06/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,Male,45,1,
228144,National authorities,37.14637,122.105562,Asia,China,Shandong Sheng,Weihai,Centroid Admin2,23/05/2017,02/06/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,Female,67,1,
228143,National authorities,23.98256,106.707275,Asia,China,Guangxi Zhuangzu Zizhiqu,Baise,Centroid Admin2,25/05/2017,02/06/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,Male,49,1,1
228142,National authorities,38.191477,116.901776,Asia,China,Hebei Sheng,Cangzhou,Centroid Admin2,19/05/2017,02/06/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,Male,35,1,
228137,National authorities,36.620728,117.955599,Asia,China,Shandong Sheng,Zibo,Centroid Admin2,17/05/2017,02/06/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,Male,55,1,
228136,National authorities,33.139061,117.415625,Asia,China,Anhui Sheng,Bengbu,Centroid Admin2,12/05/2017,02/06/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,Male,44,1,
228135,National authorities,31.16,108.389,Asia,China,Chongqing Shi,Kaizhou District,Unknown,29/05/2017,04/06/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,Female,37,1,
228134,National authorities,29.52,104.65,Asia,China,Sichuan Sheng,"Weiyuan County, Neijiang City",Unknown,23/05/2017,01/06/2017,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,Female,61,1,
228132,National authorities,23.40208,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,03/06/2017,05/06/2017,Confirmed,MERS-CoV ,,,,,,,,Male,27,1,1
228131,National authorities,23.40208,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,,05/06/2017,Confirmed,MERS-CoV ,,,,,,,,,0,1,
228130,National authorities,23.40208,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,,05/06/2017,Confirmed,MERS-CoV ,,,,,,,,Male,29,1,1
228129,National authorities,23.40208,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,03/06/2017,05/06/2017,Confirmed,MERS-CoV ,,,,,,,,,0,1,
228128,National authorities,23.40208,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,01/06/2017,04/06/2017,Confirmed,MERS-CoV ,,,,,,,,,0,1,
228127,National authorities,23.40208,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,,04/06/2017,Confirmed,MERS-CoV ,,,,,,,,,0,1,
228126,National authorities,23.40208,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,,04/06/2017,Confirmed,MERS-CoV ,,,,,,,,Male,46,1,1
228125,National authorities,23.40208,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,28/05/2017,03/06/2017,Confirmed,MERS-CoV ,,,,,,,,,0,1,
