Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
175769,OIE,18.880541,-97.416923,Americas,Mexico,Puebla,Palmar De Bravo,Centroid Admin2,01/05/2013,07/05/2013,Confirmed,Influenza - Avian,H7N3 HPAI,"domestic, unspecified bird",150000,75000,40000,11000,0,,,,
175768,OIE,20.778299,-102.683055,Americas,Mexico,Jalisco,Tepatitlan De Morelos,Centroid Admin2,29/04/2013,07/05/2013,Confirmed,Influenza - Avian,H7N3 HPAI,"domestic, unspecified bird",320000,0,0,320000,0,,,,
175767,OIE,20.999785,-100.430379,Americas,Mexico,Guanajuato,San Jose Iturbide,Centroid Admin2,03/04/2013,07/05/2013,Confirmed,Influenza - Avian,H7N3 HPAI,"domestic, unspecified bird",319398,,0,319398,0,,,,
175766,OIE,21.2222,-100.9911,Americas,Mexico,Guanajuato,Dolores Hidalgo,Unknown,10/04/2013,07/05/2013,Confirmed,Influenza - Avian,H7N3 HPAI,"domestic, unspecified bird",100601,,0,100601,0,,,,
175765,OIE,21.1111,-102.0444,Americas,Mexico,Jalisco,San Diego de Alejandría,Unknown,01/03/2013,07/05/2013,Confirmed,Influenza - Avian,H7N3 HPAI,"domestic, unspecified bird",16,11,10,6,0,,,,
175763,National authorities,30.766,31.226,Africa,Egypt,Gharbia,Hanut,Centroid Locality,29/04/2013,30/04/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken, domestic, duck, domestic, unspecified bird",,108,,108,,,,,
175762,National authorities,30.966,30.961,Africa,Egypt,Gharbia,Kotour,Centroid Locality,29/04/2013,30/04/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,20,,20,,,,,
175761,National authorities,30.333,30.95,Africa,Egypt,Menoufia,Samadoun,Centroid Locality,27/04/2013,28/04/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, unspecified bird",,20,,20,,,,,
175760,National authorities,30.019,31.271,Africa,Egypt,Cairo,Elkhalifa,Centroid Locality,26/04/2013,27/04/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, unspecified bird",,203,,203,,,,,
175759,National authorities,30.839,30.865,Africa,Egypt,Gharbia,Ibyar,Centroid Locality,24/04/2013,25/04/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,3000,,3000,,,,,
175758,National authorities,30.839,30.865,Africa,Egypt,Gharbia,Ibyar,Centroid Locality,24/04/2013,25/04/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,25000,,25000,,,,,
175757,National authorities,31.19047,121.41822,Asia,China,Shanghai Shi,Shangai City,Centroid Admin1,16/03/2013,15/04/2013,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,0
175756,National authorities,-13.676557,-73.889949,Americas,Peru,Ayacucho,Concepcion,Centroid Admin2,,31/10/2006,Confirmed,Rabies,,"domestic, equidae",,1,,,,,,,
175755,National authorities,-16.360768,-71.658181,Americas,Peru,Arequipa,Uchamayo,Centroid Admin2,,31/10/2006,Confirmed,Classical swine fever,,"domestic, swine",,9,,,,,,,
175754,National authorities,-17.053638,-70.883312,Americas,Peru,Moquegua,Moquegwa,Centroid Admin2,,31/10/2006,Confirmed,Classical swine fever,,"domestic, swine",,8,,,,,,,
175751,National authorities,28.545654,115.943909,Asia,China,Jiangxi Sheng,Nanchang County,Exact,03/05/2013,07/05/2013,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,0
175750,National authorities,-16.360768,-71.658181,Americas,Peru,Arequipa,Uchumayo,Centroid Admin2,,31/10/2006,Confirmed,Classical swine fever,,"domestic, swine",,3,,,,,,,
175747,National authorities,3.575461,98.476849,Asia,Indonesia,Sumatera Utara,BHAKTIKARYA,Unknown,19/03/2013,19/03/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,,500,,,,,,
175746,National authorities,-3.855745,103.776351,Asia,Indonesia,Sumatera Selatan,SELEMAN,Unknown,25/03/2013,25/03/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,15,,,,,,
175745,National authorities,-0.500647,100.476211,Asia,Indonesia,Sumatera Barat,PITALAH,Unknown,27/03/2013,30/03/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",1135,,116,,0,,,,
175744,National authorities,-0.500647,100.476211,Asia,Indonesia,Sumatera Barat,PITALAH,Unknown,12/03/2013,12/03/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,,1000,,,,,,
175743,National authorities,-0.505097,100.487256,Asia,Indonesia,Sumatera Barat,BUNGO TANJUNG,Unknown,21/03/2013,24/03/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",2213,,1872,,0,,,,
175742,National authorities,-0.095708,100.578817,Asia,Indonesia,Sumatera Barat,SUNGAI ANTUAH,Unknown,05/03/2013,05/03/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,,5,,,,,,
175741,National authorities,-0.95575,119.907928,Asia,Indonesia,Sulawesi Tengah,BULUPOUNTU,Unknown,04/03/2013,04/03/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,30,,,,,,
175740,National authorities,-0.961392,119.867134,Asia,Indonesia,Sulawesi Tengah,TAWANJUKA,Unknown,25/03/2013,25/03/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,9,,,,,,
175739,National authorities,0.601364,101.77899,Asia,Indonesia,Riau,PANGKALAN PISANG,Unknown,12/03/2013,12/03/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,20,,,,,,
175738,National authorities,0.518276,101.400059,Asia,Indonesia,Riau,TAMPAN,Unknown,20/03/2013,20/03/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,3,,,,,,
175737,National authorities,0.32911,101.144112,Asia,Indonesia,Riau,SIMPANG KUBU,Unknown,07/03/2013,07/03/2013,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,18,,,,,,
