Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
235458,OIE,54.323333,20.309167,Europe,Poland,Warminsko-Mazurskie,Stega Mala,Exact,15/02/2018,19/03/2018,Confirmed,African swine fever,,"wild,wild boar (sus scrofa) (suidae))",,1,1,,,,,,
235457,OIE,54.310278,20.180278,Europe,Poland,Warminsko-Mazurskie,Przebedowo,Exact,15/02/2018,19/03/2018,Confirmed,African swine fever,,"wild,wild boar (sus scrofa) (suidae))",,3,3,,,,,,
235456,OIE,54.344722,20.271111,Europe,Poland,Warminsko-Mazurskie,Kwiatkowo,Exact,14/02/2018,19/03/2018,Confirmed,African swine fever,,"wild,wild boar (sus scrofa) (suidae))",,1,1,,,,,,
235455,OIE,54.343611,20.293889,Europe,Poland,Warminsko-Mazurskie,Stega Mala,Exact,14/02/2018,19/03/2018,Confirmed,African swine fever,,"wild,wild boar (sus scrofa) (suidae))",,2,2,,,,,,
235454,OIE,54.265278,20.030833,Europe,Poland,Warminsko-Mazurskie,Wysoka Braniewska,Exact,13/02/2018,19/03/2018,Confirmed,African swine fever,,"wild,wild boar (sus scrofa) (suidae))",,2,2,,,,,,
235453,OIE,53.47,11.18,Europe,Germany,Mecklenburg-Vorpommern,"Hagenow, Ludwigslust-Parchim",Exact,27/03/2018,12/04/2018,Confirmed,Equine infectious anaemia,,"domestic, horse",15,1,0,1,,,0,,
235435,OIE,47.1646,31.8887,Europe,Ukraine,Mykolayivs'ka,Sebyne ,Unknown,05/04/2018,11/04/2018,Confirmed,African swine fever,,"wild,wild boar (sus scrofa) (suidae))",,1,1,0,0,,0,,
235434,OIE,49.0844,31.7195,Europe,Ukraine,Cherkas'ka,Tashlyk ,Unknown,06/04/2018,11/04/2018,Confirmed,African swine fever,,"domestic, swine",8,1,0,7,0,,0,,
235433,OIE,-26.485693,31.191971,Africa,Swaziland,Manzini,McCreedy,Exact,05/03/2018,11/04/2018,Confirmed,African horse sickness,7,"domestic, horse",46,1,0,0,0,,0,,
235430,OIE,52.582733,47.981948,Europe,Russian Federation,Saratovskaya Oblast,Elshanka ,Exact,03/04/2018,10/04/2018,Confirmed,African swine fever,,"domestic, swine",,5,5,5,0,,0,,
235424,FAO Field Officer,2.97,31.39,Africa,Uganda,Arua,Rhino Camp Settlement,Unknown,28/02/2018,06/04/2018,Confirmed,Anthrax,,,,,,,,,0,3,1
235423,FAO Field Officer,2.97,31.39,Africa,Uganda,Arua,Rhino Camp Settlement,Unknown,28/02/2018,06/04/2018,Confirmed,Anthrax,,"domestic, unspecified mammal",,,15,,,,0,,
235421,OIE,-14.6575,27.7533,Africa,Zambia,Central,Chibombo,Exact,03/04/2018,06/04/2018,Confirmed,Foot and mouth disease,O,"domestic, cattle",1000,13,,,,,0,,
235420,OIE,-14.4477,29.3215,Africa,Zambia,Central,Chisamba Camp,Exact,23/03/2018,06/04/2018,Confirmed,Foot and mouth disease,O,"domestic, cattle",10000,100,,,,,0,,
235418,OIE,22.50679,114.14916,Asia,"Hong Kong, SAR",Administrative unit not available,"Kun Lung Wai, Fanling, North District ",Exact,07/02/2018,09/04/2018,Confirmed,Influenza - Avian,H5N6 HPAI,"wild, crested myna",,1,1,,,,0,,
235412,OIE,55.9833,26.7564,Europe,Latvia,Daugavpils,Malinovas parish,Exact,29/03/2018,05/04/2018,Confirmed,African swine fever,,"wild,wild boar (sus scrofa) (suidae))",,1,,1,,,,,
235411,OIE,56.3919,25.9917,Europe,Latvia,Jekabpils,Abelu parish,Exact,28/03/2018,05/04/2018,Confirmed,African swine fever,,"wild,wild boar (sus scrofa) (suidae))",,1,,1,,,,,
235410,OIE,57.1286,21.8667,Europe,Latvia,Ventspils,Zleku parish,Exact,28/03/2018,05/04/2018,Confirmed,African swine fever,,"wild,wild boar (sus scrofa) (suidae))",,3,3,,,,,,
235409,OIE,56.5839,27.2072,Europe,Latvia,Rezeknes,Audrinu parish,Exact,27/03/2018,05/04/2018,Confirmed,African swine fever,,"wild,wild boar (sus scrofa) (suidae))",,1,,1,,,,,
235408,OIE,57.1258,21.8656,Europe,Latvia,Ventspils,Zleku parish,Exact,27/03/2018,05/04/2018,Confirmed,African swine fever,,"wild,wild boar (sus scrofa) (suidae))",,1,1,,,,,,
235407,OIE,55.8508,27.1186,Europe,Latvia,Kraslavas,Kaplavas parish,Exact,23/03/2018,29/03/2018,Confirmed,African swine fever,,"wild,wild boar (sus scrofa) (suidae))",,1,,1,,,,,
235406,OIE,56.9547,22.4456,Europe,Latvia,Kuldigas,Kabiles parish,Exact,23/03/2018,29/03/2018,Confirmed,African swine fever,,"wild,wild boar (sus scrofa) (suidae))",,1,1,,,,,,
