Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
162902,FAO Field Officer,-8.5277,33.4206,Africa,United Republic of Tanzania,Mbeya,Chunya,Unknown,16/05/2011,24/05/2011,Confirmed,African swine fever,,"domestic, swine",900,75,65,0,0,,,,
162901,FAO Field Officer,14.92527,-24.406053,Africa,Cape Verde,Fogo,Fogo,Centroid Admin1,,24/05/2011,Confirmed,African swine fever,,"domestic, swine",,,,,,,,,
162876,National authorities,12.066667,15.033334,Africa,Cameroon,Extrême - Nord,Kousseri,Centroid Locality,,23/05/2011,Confirmed,African swine fever,,"domestic, swine",,,,,,,,,
162847,OIE,-33.396,18.395,Africa,South Africa,Western Cape,Malmesbury,Unknown,02/03/2011,20/05/2011,Confirmed,African horse sickness,,"domestic, horse",,1,1,0,0,,,,
162846,OIE,-33.52461,18.47303,Africa,South Africa,Western Cape,Mamre ,Unknown,20/03/2011,20/05/2011,Confirmed,African horse sickness,,"domestic, horse",,1,1,0,0,,,,
162845,OIE,-33.54099,18.52148,Africa,South Africa,Western Cape,Mamre 35,Unknown,17/03/2011,20/05/2011,Confirmed,African horse sickness,,"domestic, horse",,1,1,0,0,,,,
162844,OIE,-33.50539,18.44894,Africa,South Africa,Western Cape,Mamre ,Unknown,31/03/2011,20/05/2011,Confirmed,African horse sickness,,"domestic, horse",,1,1,0,0,,,,
162843,OIE,-33.5095,18.50312,Africa,South Africa,Western Cape,Mamre ,Unknown,19/03/2011,20/05/2011,Confirmed,African horse sickness,,"domestic, horse",,4,4,0,0,,,,
162842,OIE,-33.51062,18.47576,Africa,South Africa,Western Cape,Mamre 37,Unknown,15/03/2011,20/05/2011,Confirmed,African horse sickness,,"domestic, horse",,1,1,0,0,,,,
162841,OIE,-33.4865,18.48886,Africa,South Africa,Western Cape,Mamre 36,Unknown,10/03/2011,20/05/2011,Confirmed,African horse sickness,,"domestic, horse",,1,1,0,0,,,,
162829,National authorities,38.044494,126.968183,Asia,Republic of Korea,Kyonggi-do,Baekseok-ri,Unknown,16/05/2011,18/05/2011,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",15800,650,650,15150,0,,,,
162826,National authorities,50.41,127.92,Europe,Russian Federation,Amurskaya Oblast,Dmitrievka,Unknown,01/11/2010,24/12/2010,Confirmed,Sheep pox and goat pox,,"domestic, sheep",515,59,59,0,0,,,,
162825,OIE,33.082342,35.283452,Asia,Israel,Northern,SHOMERA,Unknown,15/05/2011,17/05/2011,Confirmed,Newcastle disease,,"domestic, unspecified bird",18000,500,300,0,0,,,,
162824,OIE,32.407624,34.925714,Asia,Israel,Central District,ELYAKHIN,Unknown,12/05/2011,17/05/2011,Confirmed,Newcastle disease,,"domestic, unspecified bird",10,6,2,8,0,,,,
162802,National authorities,30.491,31.231,Africa,Egypt,Kalyoubia,Kafr El arbeen (ezbetabdelmaged noser),Centroid Locality,14/05/2011,15/05/2011,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,15,,15,,,,,
162801,National authorities,30.297,31.314,Africa,Egypt,Kalyoubia,Ezbet El gebsa,Centroid Admin2,11/05/2011,12/05/2011,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, goose",,6,,6,,,,,
162800,National authorities,30.801,31.536,Africa,Egypt,Shrkia,Gemezet bani amr,Centroid Locality,09/05/2011,10/05/2011,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,132,,132,,,,,
162799,National authorities,30.789,31.406,Africa,Egypt,Shrkia,Safor,Centroid Locality,09/05/2011,10/05/2011,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,62,,62,,,,,
162798,National authorities,29.348,30.82,Africa,Egypt,Fayoum,zawyaet kerdasa,Centroid Locality,09/05/2011,10/05/2011,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,10000,,10000,,,,,
162797,National authorities,30.459,30.919,Africa,Egypt,Menoufia,Monshaet soltan,Centroid Locality,09/05/2011,10/05/2011,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,80,,80,,,,,
162788,OIE,-33.63358,22.10517,Africa,South Africa,Western Cape,AI_WCP2011_13,Unknown,12/04/2011,16/05/2011,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, ostrich",508,23,0,0,0,,,,
162787,OIE,-33.79872,22.56361,Africa,South Africa,Western Cape,AI_WCP2011_10,Unknown,12/04/2011,16/05/2011,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, ostrich",239,1,0,0,0,,,,
162786,OIE,-33.47401,22.25537,Africa,South Africa,Western Cape,AI_WCP2011_16,Unknown,12/04/2011,16/05/2011,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, ostrich",553,13,0,0,0,,,,
162785,OIE,-33.66368,22.1282,Africa,South Africa,Western Cape,AI_WCP2011_14,Unknown,12/04/2011,16/05/2011,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, ostrich",2736,129,0,0,0,,,,
162784,OIE,-33.65783,22.11265,Africa,South Africa,Western Cape,AI_WCP2011_17,Unknown,12/04/2011,16/05/2011,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, ostrich",107,4,0,0,0,,,,
162783,OIE,-33.65856,22.136,Africa,South Africa,Western Cape,AI_WCP2011_15,Unknown,12/04/2011,16/05/2011,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, ostrich",53,3,0,0,0,,,,
162782,OIE,-33.65794,22.14506,Africa,South Africa,Western Cape,AI_WCP2011_12,Unknown,12/04/2011,16/05/2011,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, ostrich",919,38,0,0,0,,,,
