Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
244132,International reference laboratory,18.607907,102.625641,Asia,Lao People's Democratic Republic,Vientiane,LOCALITY ARTIFICIALLY SET,Centroid Admin1,22/01/2018,14/12/2018,Confirmed,Foot and mouth disease,O,"domestic, cattle",,,,,,,0,,
244128,National authorities,22.267,113.522,Asia,China,Guangdong Sheng,Qianshan Slaughter house,Exact,17/12/2018,19/12/2018,Confirmed,African swine fever,,"domestic, swine",50,11,11,39,,,0,,
244127,National authorities,29.753,106.246,Asia,China,Chongqing Shi,"Tuanba Village,Dalu Township",Exact,13/12/2018,18/12/2018,Confirmed,African swine fever,,"domestic, swine",23,8,3,20,,,0,,
244113,OIE,-9.50973,33.1889,Africa,Malawi,Northern Region,Nyondo dip tank,Exact,27/10/2018,29/11/2018,Confirmed,Foot and mouth disease,,"domestic, cattle",1300,38,0,0,,,,,
244112,OIE,-21.4552,30.35288,Africa,Zimbabwe,Masvingo,Santidza,Exact,06/11/2018,14/12/2018,Confirmed,Foot and mouth disease,SAT1,"domestic, cattle",1618,122,0,0,,,,,
244111,OIE,-21.4291,30.2365,Africa,Zimbabwe,Masvingo,Mutezvegwi,Exact,06/11/2018,14/12/2018,Confirmed,Foot and mouth disease,SAT1,"domestic, cattle",2538,110,0,0,,,,,
244110,OIE,-21.42169,30.70803,Africa,Zimbabwe,Masvingo,Sossonye,Exact,30/11/2018,14/12/2018,Confirmed,Foot and mouth disease,SAT1,"domestic, cattle",399,21,0,0,,,,,
244109,OIE,-21.6518,30.47407,Africa,Zimbabwe,Masvingo,Flora,Exact,30/11/2018,14/12/2018,Confirmed,Foot and mouth disease,SAT1,"domestic, cattle",1880,67,0,0,,,,,
244108,OIE,-21.13408,30.89123,Africa,Zimbabwe,Masvingo,Welkom,Exact,30/11/2018,14/12/2018,Confirmed,Foot and mouth disease,SAT1,"domestic, cattle",1970,64,0,0,,,,,
244107,OIE,-21.24062,30.72806,Africa,Zimbabwe,Masvingo,Qagga Pan,Exact,29/11/2018,14/12/2018,Confirmed,Foot and mouth disease,SAT1,"domestic, cattle",1224,200,0,0,,,,,
