Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
5416,Other,14.75,100.0997,Asia,Thailand,Suphanburi,Nang Buaj,Unknown,22/08/2004,27/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
5412,Other,17.0225,100.1782,Asia,Thailand,Phitsanulok,Phrom Phiram,Unknown,03/07/2004,08/10/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken, domestic, turkey",45,,29,16,,,,,
5410,Other,15.75,101.7666,Asia,Thailand,Chaiyaphum,Nong Buaraheo,Unknown,03/07/2004,08/10/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken, domestic, turkey",1274,,,1274,,,,,
5408,Other,15.25,100.3497,Asia,Thailand,Nakhon Sawan,Ta Khli,Unknown,03/07/2004,08/10/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken, domestic, turkey",15,,10,5,,,,,
5406,Other,14.817,100.49,Asia,Thailand,Lopburi,Tha Wung,Unknown,03/07/2004,08/10/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken, domestic, turkey",207,,165,42,,,,,
5402,Other,14.4009,100.1268,Asia,Thailand,Suphanburi,Bang Pla Ma,Unknown,03/07/2004,08/10/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken, domestic, turkey",7500,,1500,6000,,,,,
5400,Other,14.4666,100.1166,Asia,Thailand,Suphanburi,Muang Suphan,Unknown,03/07/2004,08/10/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken, domestic, turkey",75453,,8160,67293,,,,,
5398,Other,14.2218,100.0363,Asia,Thailand,Suphanburi,Song Phi Nong,Unknown,03/07/2004,08/10/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken, domestic, turkey",3524,,924,2600,,,,,
5394,Other,14.7993,100.3195,Asia,Thailand,Singburi,Bang Racham,Unknown,03/07/2004,08/10/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken, domestic, turkey",1927,,,1927,,,,,
5392,Other,14.883,100.4166,Asia,Thailand,Singburi,Muang Sing,Unknown,03/07/2004,08/10/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken, domestic, turkey",150,,60,90,,,,,
5390,Other,16.4166,101.133,Asia,Thailand,Phetchabun,Muang Phetchabun,Unknown,03/07/2004,08/10/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken, domestic, turkey",150,,8,142,,,,,
5388,Other,13.983,99.95,Asia,Thailand,Nakhon Pathom,Muang Kamphaeng Saen,Unknown,03/07/2004,08/10/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken, domestic, turkey",3,,,3,,,,,
5386,Other,13.9,99.7666,Asia,Thailand,Kanchanaburi,Tha Maka,Unknown,03/07/2004,08/10/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken, domestic, turkey",36,,8,28,,,,,
5384,Other,14.65,99.7997,Asia,Thailand,Kanchanaburi,Lao Khwan,Unknown,03/07/2004,08/10/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken, domestic, turkey",278,,,278,,,,,
5378,Other,16.183,100.8497,Asia,Thailand,Phetchabun,Chon Daen,Unknown,03/07/2004,08/10/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken, domestic, turkey",94,,92,,,,,,
5370,Other,14.817,100.49,Asia,Thailand,Lopburi,Tha Wung,Unknown,22/08/2004,27/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken, domestic, duck, domestic, unspecified bird, domestic, goose",9,,,9,,,,,
5368,Other,14.0143,100.4093,Asia,Thailand,Pathum Thani,Lat Lum Kaeo ,Unknown,22/08/2004,27/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
5364,Other,18.6872,98.9166,Asia,Thailand,Chiang Mai,Hang Dong,Unknown,22/08/2004,27/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken, domestic, duck, domestic, chicken, domestic, goose",,,,,,,,,
5358,Other,14.0666,100.533,Asia,Thailand,Pathum Thani,Sam Khok,Unknown,22/08/2004,27/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken, domestic, duck, domestic, goose",,,,,,,,,
5354,Other,8.433,99.9666,Asia,Thailand,Nakhon Si Thammarat,Maung Nakhon Si Thammarat,Unknown,08/09/2004,10/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken",,,,,,,,,
5350,Other,16.6997,102.8666,Asia,Thailand,Khon Kaen,Nam Phong,Unknown,08/09/2004,10/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken",51,,,51,,,,,
5344,Other,16.6666,100.183,Asia,Thailand,Phitsanulok,Ban Kathum,Unknown,08/09/2004,10/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken",29,,,,,,,,
5340,Other,16.5722,100.6104,Asia,Thailand,Phitsanulok,Noen Maprang,Unknown,08/09/2004,10/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken",,,,,,,,,
5332,Other,16.5722,100.6104,Asia,Thailand,Phitsanulok,Noen Maprang,Unknown,07/10/2004,07/10/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken",,,,,,,,,
5328,Other,16.783,101.25,Asia,Thailand,Phetchabun,Lom Sak,Unknown,22/09/2004,22/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,213,,,,,
5324,Other,16.5722,100.6104,Asia,Thailand,Phitsanulok,Noen Maprang,Unknown,08/09/2004,08/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken",,,,,,,,,
5316,Other,14.7666,100.633,Asia,Thailand,Lopburi,khok Samrong,Unknown,08/09/2004,10/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken",,,,,,,,,
5312,Other,14.4009,100.1268,Asia,Thailand,Suphanburi,Bang Pla Ma,Unknown,22/09/2004,22/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,,,6492,,,,,
5310,Other,16.5013,100.2176,Asia,Thailand,Phichit,Sam Ngam,Unknown,08/09/2004,08/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken",5000,,,5000,,,,,
5306,Other,16.433,102.833,Asia,Thailand,Khon Kaen,Khon Kaen,Unknown,22/09/2004,22/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,,,,,,
5276,Other,16.333,100.7997,Asia,Thailand,Phetchabun,Wang Pong,Unknown,22/09/2004,22/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,,,,,,
5270,Other,16.5013,100.2176,Asia,Thailand,Phichit,Sam Ngam,Unknown,08/09/2004,10/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken, domestic, duck, domestic, quail",5000,,,5000,,,,,
5256,Other,14.853,101.0475,Asia,Thailand,Lopburi,Nong Bua,Unknown,08/09/2004,10/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",500,,,500,,,,,
5252,Other,13.8,100.483,Asia,Thailand,Nonthaburi,Ban Kruai,Unknown,08/09/2004,10/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, wild, swan, domestic, chicken, domestic, chicken",75,,,75,,,,,
5248,Other,17.2833,100.0833,Asia,Thailand,Uttaradit,Pichai,Unknown,08/09/2004,10/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken",1911,,,1911,,,,,
5244,Other,14.0666,100.65,Asia,Thailand,Pathum Thani,Khlong Luang,Unknown,02/09/2004,02/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,33,,,,,
5240,Other,15.3666,100.0497,Asia,Thailand,Uthai Thani,Maung,Unknown,02/09/2004,02/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,,,3846,,,,,
5236,Other,16.4527,103.3366,Asia,Thailand,Kalasin,Khlong Khlung,Unknown,02/09/2004,02/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,8,,,,,
5232,Other,15.3919,99.8438,Asia,Thailand,Uthai Thani,Nong Chang,Unknown,02/09/2004,02/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,0,,,,,
5228,Other,14.6166,100.15,Asia,Thailand,Suphanburi,Si Prachan,Unknown,27/08/2004,27/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,,,,,,,,
5224,Other,6.6166,101.65,Asia,Thailand,Narathiwat,Bacho,Unknown,25/08/2004,25/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,,,,,,
5216,Other,14.817,100.49,Asia,Thailand,Lopburi,Tha Wung,Unknown,24/08/2004,25/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,9,,,,,
5210,Other,15.683,100.1166,Asia,Thailand,Nakhon Sawan,Nakhon Sawan,Unknown,17/08/2004,25/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,50,,,,,
5204,Other,17.6311,100.1008,Asia,Thailand,Uttaradit,Muang Utaradit,Unknown,17/08/2004,25/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,96,,,,,
5200,Other,14.2992,100.1084,Asia,Thailand,Suphanburi,Bang Yai,Unknown,16/08/2004,25/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,981,,,,,
5196,Other,16.5666,100.2997,Asia,Thailand,Phitsanulok,Bang Krahtum,Unknown,16/08/2004,25/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,,,3380,,,,,
5192,Other,15.3619,99.9291,Asia,Thailand,Uthai Thani,Nong Khayang,Unknown,16/09/2004,25/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,460,,,,,
5188,Other,14.8366,100.9966,Asia,Thailand,Lopburi,Pattananikom,Unknown,12/08/2004,25/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,,,,,,,,
5184,Other,16.8166,102.333,Asia,Thailand,Khon Kaen,Na-Foi,Unknown,11/08/2004,25/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,16,,,,,
5180,Other,14.3497,101.0,Asia,Thailand,Saraburi,Wiharndang,Unknown,11/08/2004,25/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,17450,,,,,
5176,Other,16.4666,99.5166,Asia,Thailand,Kampaeng Phet,Nakornchum,Unknown,11/08/2004,25/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,,,,,,
